"Категория","latitude","longitude","Год"
"Число людей","52.88086167089","45.411052412714","2017 год"
"Число людей","52.971502170511","45.647594858639","2018 год"
"Число людей","52.954559222092","46.024979531159","2019 год"
"Число людей","51.669782129018","43.80112852052","2020 год"
"Число людей","51.26812214948","42.930413539361","2021 год"
"Число людей","51.110543353976","44.507733846234","2022 год"
"Легковые транспортные средства","52.440602634893","39.433605294789","2017 год"
"Легковые транспортные средства","52.309245705399","39.660359562651","2018 год"
"Легковые транспортные средства","52.098940838278","40.270238867975","2019 год"
"Легковые транспортные средства","50.03729533312","39.943279961993","2020 год"
"Легковые транспортные средства","47.305734940048","41.081023975856","2021 год"
"Легковые транспортные средства","48.988498586499","44.851003268261","2022 год"
"Грузовые транспортные средства","52.52460287402","50.194407450915","2017 год"
"Грузовые транспортные средства","52.327641991629","50.841963233883","2018 год"
"Грузовые транспортные средства","52.265189957942","51.364604117563","2019 год"
"Грузовые транспортные средства","52.180222489337","49.401788364758","2020 год"
"Грузовые транспортные средства","52.062776761419","50.484783581246","2021 год"
"Грузовые транспортные средства","50.451089220195","51.994733530967","2022 год"
"Паспорта транспортных средств","52.24701617137","52.833928802319","2017 год"
"Паспорта транспортных средств","52.386719912035","53.056801756623","2018 год"
"Паспорта транспортных средств","52.345408950004","53.705103210333","2019 год"
"Паспорта транспортных средств","51.641525657146","45.418602198256","2020 год"
"Паспорта транспортных средств","51.016608997635","41.29929258142","2021 год"
"Паспорта транспортных средств","51.161917190549","43.605560171471","2022 год"
"Грузы в тоннах","52.282785492157","52.094118077218","2017 год"
"Грузы в тоннах","51.637309631111","54.815136185445","2018 год"
"Грузы в тоннах","51.998334257757","59.176617806487","2019 год"
"Грузы в тоннах","51.480670127555","59.716456771404","2020 год"
"Грузы в тоннах","51.697291440371","58.824088346727","2021 год"
"Грузы в тоннах","51.439830022112","62.572598633362","2022 год"
"Число людей","54.151872141723","46.33634313023","Пропускная способность по паспорту"
"Легковые транспортные средства","54.184075983615","33.394243652335","Пропускная способность по паспорту"
"Грузовые транспортные средства","54.029472721798","38.756798908628","Пропускная способность по паспорту"
"Паспорта транспортных средств","53.563592185433","39.534653141438","Пропускная способность по паспорту"
"Грузы в тоннах","53.473570123237","49.178716729071","Пропускная способность по паспорту"
