,Федеральный округ,Вид,Количество ПП
0,СЗФО,АПП,30
1,ДФО,МПП,29
2,ЦФО,АПП,25
3,ДФО,АПП,20
4,ЮФО,МПП,20
5,ЮФО,АПП,19
6,СЗФО,ЖДПП,18
7,СФО,АПП,18
8,ЦФО,ВПП,16
9,ПФО,ВПП,15
10,СЗФО,МПП,14
11,ЦФО,ЖДПП,14
12,ЮФО,ЖДПП,13
13,СФО,ВПП,12
14,ЮФО,ВПП,11
15,ДФО,ВПП,11
16,ДФО,СПП,11
17,УФО,ВПП,10
18,СЗФО,ВПП,9
19,ПФО,АПП,8
20,УФО,АПП,7
21,ДФО,ЖДПП,7
22,УФО,ЖДПП,7
23,СКФО,ВПП,7
24,СФО,ЖДПП,7
25,СКФО,АПП,6
26,СЗФО,РПП,3
27,ПФО,ЖДПП,3
28,СФО,МПП,2
29,СФО,РПП,1
30,СКФО,МПП,1
31,СКФО,ЖДПП,1
32,УФО,МПП,1
33,СЗФО,ППП,1
34,СЗФО,ОПП,1
35,ДФО,ППП,1
36,ДФО,РПП,1
